username,encrypted_password,email,date_joined
mj23,6rings23,mjordan@gmail.com,2008-05-12
magicJ,32showtime,mjohnson@gmail.com,2008-06-28
DAmaradona,d10s,dmaradona@gmail.com,2008-07-14
mAli,turmmm2323,mali@gmail.com,2009-05-08
ilDoctore,93italia,vrossi@gmail.com,2009-05-30
t-woods,333utmm,twoods@gmail.com,2009-06-02
mphelps,maxgolds,michaelp@gmail.com,2009-07-18
esmith,jjfik6kj,esmith@gmail.com,2009-07-18
pele10,578585jn4,orei@gmail.com,2009-10-04
gbest,jfjfji5kkmd,gbest@gmail.com,2009-11-23
distefano,lasaeta10,saetarubia@gmail.com,2009-11-23
ronnie10,5k5jkkk,ronaldinho@gmail.com,2009-12-31
cr7,siuuuu123,cronaldo7@gmail.com,2010-01-02
leoMessi,d1000s,lmessi@gmail.com,2010-01-02
jcruyff,14bdo,jcruyff14@gmail.com,2010-02-24
zizou5,zzzjrii,zzidane@gmail.com,2010-02-26
mplatini,1099mrm,mplatini@gmail.com,2010-03-11
pguardiola,123jjuu,pepguardiola@gmail.com,2010-03-12
CLMenotti,kuuarg123,clmenotti@gmail.com,2010-03-25
dforlan5,jjuti559sk,dforlan@gmail.com,2010-03-27
enzofrancescoli,uuu993j,efrancescoli@gmail.com,2010-04-01
izamorano,iurjnjj,izamorano@gmail.com,2010-04-03
franzbeck,kaiser345,fbeckenbauer@gmail.com,2010-04-10
ronaldo9,ofenomeno911,ronnienazario@gmail.com,2010-04-11
siralexf,ijnf77,alexferguson@gmail.com,2010-04-15
